id,text
gold_017_line_048,בעיקבות הישיבה ההיא הוחלט על הטלת סגר על ישראל
gold_000_line_101,אה זה די מדהים לראות לראות את זה לאור יום
gold_021_line_040,הוא אחד מייזמי ההייטק הוותיקים שיש לנו
gold_007_line_150,נמאס לי לחלוטין לעמוד בפקקים נמאס לי מהלחץ נמאס לי מחיפושי החנייה פשוט נמאס לי
gold_001_line_348,עוד שנייה יהיה לה מקום חדש לקרוא לו בית
gold_020_line_002,אוקיי אז בוא נלך מהקל אל הכבד בחלק הקל על אף שכבר עכשיו הטכנולוגיה מאוד מאוד מרשימה
gold_011_line_114,במערכת חיות כיס חברות גם דנה פרנק וצליל אברהם
gold_021_line_014,אולי הוא ישכנע גם אתכם להצטרף לעיגול לטובה
gold_021_line_057,והוא משמש בתור יושב הראש שלה עד היום
gold_002_line_310,פשוט כי האינפלציה כאן היא עדיין נמוכה ביחס למדינות אחרות
gold_002_line_356,בארצות הברית בינתיים היכן שהאינפלציה השנתית כבר חצתה את השישה אחוזים
gold_000_line_012,החברה האם זו שמחזיקה או החזיקה אז בוואלה
gold_012_line_119,ומתרגזת בכל פעם ומתרגזת מאוד בכל פעם שישראל טוענת אחרת
gold_012_line_124,למה הם לא ממסחרים את אתר התבילה כי זה מקום קדוש הם אומרים זה לא מתאים זה כמו למסחר את הכותל
gold_001_line_022,אבל באמת נוגעים מפעילים את זה משהו בפנים
gold_008_line_100,אני באופן אישי אחרי איזושהי תקופה עם גוגל פודקאסטס עברתי לאחרונה לספוטיפאי לא לגמרי בטוח למה אבל האמת היא שאנחנו בכל מקום בכל מקום
gold_002_line_024,לפני שלוש שנים הוא בכלל היה בצד השני של העולם בבית שלו בפרבר של פילדלפיה
gold_020_line_033,ככל שהדבר הזה ישתכלל ויהיו על זה אה אתה יודע יבנו על זה אפליקציות מסחריות באותו אופן שבו אה באפסטור אה של אפל או בגוגל אה בחנות אפליקציות של גוגל
gold_013_line_002,והסיפור על איך ערמקו הגיעה לבורסה ולמה הסעודים החליטו למכור בכלל כמה אחוזים מהבוננזה הכלכלית שלהם הוא סיפור מרתק
gold_016_line_021,איך אנחנו יכולים להאמין למילה ממה שאתה אומר
gold_012_line_060,אתר הטבילה הפך להיות בבת אחת חלק משטח צבאי סגור
gold_005_line_035,יש לא מעט מחקרים ועדויות של בעלי חנויות שמראים שיש סיכוי לא רע שתשימו בעגלה את הדבר הראשון שראיתם גם אם אפילו לא תכננתם לקנות אותו
gold_007_line_108,ואז שרת התחבורה רגב החליטה שהיא עוצרת את התקציבים
gold_016_line_076,זה פשוט משחית את התקשורת כי התמונה שהקוראות קוראים צופות צופים מקבלים
gold_002_line_279,כלומר שאו שאנחנו הולכים לאינפלציה שהיא בסדר מבחינת היעד של בנק ישראל
gold_007_line_155,האם אני מטיף לכל מי שאני רק יכול בעבודה שינסו את התחבורה הציבורית
gold_000_line_035,אבל חלק מזה זה גם מעבר לזה זאת אומרת הם יודעים שאם המתחרה שלהם
gold_002_line_364,הוא כתב שם שאינפלציה שנובעת מתחממות יתר של הכלכלה היא אומנם בעיה שמתגמדת אל מול מגפה עולמית
gold_015_line_071,כי הם מבינים שיש איזושהי רוח מפקד ושאם הם יכתבו אחרת הידיעה פשוט לא תעבור
gold_002_line_075,והשאלה הזו מטרידה לא רק אותו אלא את הנגידים של בנקים מרכזיים ברחבי העולם כולו והיא צריכה להטריד מאוד גם אותנו
gold_004_line_002,כי בכל זאת אנחנו פודקאסט ישראלי שקורה בישראל
gold_005_line_193,זו בדיוק העבודה של דריה מינובי ממרכז המידע לבריאות הציבור
gold_009_line_091,ושלכן הוא יגדיל את המוביליות החברתית של אותו נוער וגם את ההכנסה העתידית שלו כלומר שחינוך מקצועי מסייע לצימצום פערים
gold_001_line_251,קצת לחץ בתיקשורת וחברות הביטוח הבינו שעדיף להן לא להיתעסק יותר מידי עם הדבר הזה
gold_015_line_015,האם זה משהו פלילי המדינה טוענת שכן
gold_006_line_060,הבורסות בכל העולם התחילו ליקרוס באחוזים ניכרים
gold_010_line_063,זה הרבה יותר חשוב מאשר לשמור לבריאות אהמ זה הרבה יותר חשוב מאשר לשמור על הבריאות שלהם
gold_007_line_145,במהלך השבוע עצמו אני רוכב לעבודה באופניים הלוך חזור בסך הכול עשר דקות לכל כיוון
gold_001_line_186,הררים הררים של חולצות ומכנסיים ובגדים אחרים
gold_000_line_155,אה נמצאים בבעיה אחרת כי יש לנו לחצים של פוליטיקאים כי הפוליטיקאים ברצותם הם יכולים לסגור את תאגיד השידור הציבורי
gold_001_line_182,ובעזרת מתנדבים התחילו לפזר את התרומות האלה בין המחסנים
gold_007_line_152,לעתים רחוקות אני מישתמש באוטו ובכל פעם שאני עושה את זה אני מיתחרט ומקלל
gold_001_line_069,לפני שנתחיל ביקשתי ממנו שיציג את עצמו
gold_007_line_013,אז השנה נוספו לכבישים עוד רבע מיליון כאלה שזה קצב שיא
gold_021_line_003,כשנשארים לי מטבעות אחרי שהסתבבתי בשוק ביום שישי אני ישר נותן אותן לילדים שישימו בקופת החיסכון שלהם
gold_005_line_072,גם הרגע שבו הסופרמרקט הגיע לישראל שיקף את המהפכה התרבותית שהמדינה הצעירה עמדה לעבור
gold_000_line_145,המלאה לגבי מה שהולך בישראל ובעולם ואיך נראים החיים הסיכוי של זה הוא יותר גדול
gold_000_line_089,נכון הם לא מודעים לזה בכלל ואגב
gold_002_line_103,אז זה קורה מכל מיני סיבות שקשורות להיתאוששות הכלכלית ובפרט לצורה המאוד ספציפית של ההיתאוששות הכלכלית מהשנה הקודמת
gold_002_line_371,אם יש לכם שאלות או מחשבות בעקבות הפרק הזה
gold_010_line_095,האמת שהרבה פעמים נראה לי שלארגונים לא כל כך אכפת שהעובדים נשחקים
gold_008_line_036,היום כבר כמעט שאין בישראל בית ספר כמו זה ששימעון נשלח אליו בשנות השמונים ללמוד נגרות
gold_000_line_148,ולכן אם נצרוך כמה שיותר נצליח לקבל תמונה כמה שיותר טובה
gold_020_line_038,אני לא חושב שאנחנו צריכים לחשוש למקום העבודה שלנו אני כן חושב שהטכנולוגיה הזו כמו כל טכנולוגיה מוצלחת בסופו של דבר תשנה את שוק העבודה ותטלטל ענפים שלמים
gold_000_line_037,על שיתוף פעולה עם איזשהו עיתון או טלוויזיה כי ראינו את הכנסים האלה קורים גם בטלוויזיות
gold_020_line_006,אבל לא היא עדיין בוסרית זה בחלק הקל אה בחלק היותר מתקדם מאחר שכבר היום כבר בשלב הזה הטכנולוגיה הזאת של הבינה המלאכותית בתחום עיבוד השפה
gold_001_line_223,ואת זה שאחת הדרכים שלו להתחרות הייתה להציע חצי שנה של תשלומי שכר דירה מראש
gold_014_line_008,אחרי שהפרק ההוא שודר הוצפתי בתגובות שלכם באמת המון המון תגובות המון אנשים אמרו שהם רוצים עוד מזה
gold_001_line_362,כלל ומיגדל עדיין עשו בעיות גם חברת איילון
gold_012_line_133,אושר עילאי שאין שני לו כאלה מין דברים
gold_017_line_144,ניסינו ששני הרעיונות יכללו קטעים אחרים לגמרי
gold_020_line_046,אם אתה עכשיו תחשוב שאתה אה עורך דין או עורכת דין שעובדים על איזשהו קייס אה נורא סבוך ואתה מחפש אה תקדימים או מחפש אה כל מיני תובנות מפסיקות קודמות או משהו כזה
gold_009_line_103,שירה קדרי כתבת החינוך של הארץ המון תודה שיזמת את הפרק הזה ושעשית אותו איתנו תמיד כיף לארח אותך אצלנו
gold_011_line_095,בשנים האחרונות כשמדברים על כלכלה ועל המגזר העסקי
gold_008_line_091,הנה אני אגיד שוב את השני משפטים האחרונים
gold_005_line_133,זה אומר את זה כי הם בוחרים לדחוף לנו בעיקר מזון לא בריא
gold_021_line_079,לפי הערכת ארגון מידות שהוא חברה לתועלת הציבור שמנסה לקדם פילנטרופיה אפקטיבית
gold_001_line_120,והנה אנחנו מגיעים לאחד החלקים המסובכים בסיפור הזה
gold_002_line_316,במדינות אחרות זה טיפה רגוע יותר ועדיין גבוה
gold_011_line_083,אין לי מושג אם זה בכלל אפשרי משפטית
gold_003_line_011,נפגשתי עם קורמן בבוקר ירושלמי קריר באמצע השבוע שעבר
gold_017_line_041,אם תשנו את ההנחות של המודל תשנו גם את התוצאות
gold_005_line_151,זו הדרך שלהם למשוך אליהם קהל של הורים צעירים למשל שיבואו לקנות את החיתולים אולי במחיר הפסד אבל כבר יעשו את כל הקניות שלהם על הדרך ויקנו גם את המוצרים הרווחיים יותר לסופר
gold_002_line_311,בשביל לסבר לכם את האוזן מדינות רבות סובלות עכשיו מאינפלציה
gold_002_line_271,ועצם ההחלטה שלו עצמו עלולה להזין את הציפיות לאינפלציה עוד יותר
gold_005_line_081,האוכל לא הגיע אז באריזות אישיות לשימוש ביתי
gold_010_line_045,אתה לשוב אהמ אתה אמור לחשוב שהעבודה מגניבה שהיא משנה את העולם להרגיש שהיא חלק מהזהות שלך
gold_001_line_100,אדם שלח לי סרטון של הדירה הזאת
gold_007_line_094,זה לא הכיוון הנכון ללכת בו אבל זה מה שהממשלות עושות
gold_001_line_443,עמוק בתוך הידיעה נכתב שבמקום ארבעת הבניינים
gold_008_line_068,ולכן הוא הציע לממשלה לדון בירצינות בהקמה לתחייה של מערך החינוך המקצועי וההצעה הזאת לא עברה כל כך טוב
gold_010_line_102,ככה שתוכל להתעדכן כי אתה בטח נורא סקרן לדעת מה הולך בזמן שאתה לא נמצא ואתה בחופש איפשהו על הים או משהו
gold_005_line_033,המוצרים הראשונים שראינו ושאתם רואים בסופר לא נמצאים שם במקרה
gold_009_line_022,אם תעברו אותו תוכלו ללכת לתיכון עיוני כלומר ללמוד מתמטיקה ואנגלית ועוד מקצועות לבגרות
gold_003_line_008,בזמן שהיה כאן הוא ניפגש עם ראש הממשלה
gold_001_line_290,כלומר אוקיי אחד הבניינים קרס סביר מאוד להניח שהם כבר לא יחזרו לגור בבניינים שעדיין נותרו לעמוד ושמתישהו יהרסו גם אותם
gold_005_line_197,אבל אפילו בלי הממשלה ובלי המדינה יש עוד משהו שיכול לגרום לבעלי הסופרים להתחיל לשנות את מה שהם מוכרים ואת מה שהם מציגים בשביל שניקנה לא
gold_015_line_068,לרמה הזאת שהעיתונאים התחילו להפעיל על עצמם צנזורה עצמית פעם שמעתי את אילנה דיין מדברת על זה והיא
gold_017_line_099,אהמ כמו למשל במיספר מכונות ההנשמה שהוזמנו הרבה הרבה הרבה מעבר ליעד שנקבע ובעלות של מיליארדים
gold_001_line_243,זה לקח לא מעט אייטמים בתיקשורת גם אצלנו
gold_021_line_078,המיגזר השלישי בישראל מגלגל מיליארדי שקלים בשנה
gold_001_line_052,ליד אחת החנויות הסמוכות היו המון דברים על הריצפה בשקיות בלי שקיות מה שאתם רוצים
gold_012_line_136,ואפילו איזה דג שמישהו סיפר שישו פעם אכל
gold_020_line_056,היא תגביר במקום לצמצם אני אתחיל שנייה מהחלק של אה זכויות היוצרים
gold_007_line_087,או ליתר דיוק היא לא רואה משבר דיור אלא היא רואה מאות אלפי זוגות צעירים שעוד שנייה עלולים לצעוק עליה שוב שמחירי הדיור גבוהים מדי
