id,text,text_vocalized,text_phonemized
gold_017_line_048,בעיקבות הישיבה ההיא הוחלט על הטלת סגר על ישראל,בְּֽעִיקְּבוֹת הַ|יְּֽשִׁיבָה הַ|הִיא הֻוחְלַט עַל הֲטָלַת סֶ֫גֶר עַל יִשְׂרָאֵל,beʔikvˈot hajeʃivˈa hahˈi huχlˈat ʔˈal hatalˈat sˈeɡeʁ ʔˈal jisʁaʔˈel
gold_000_line_101,אה זה די מדהים לראות לראות את זה לאור יום,אָה זֶה דֵּי מַדְהִים לִרְאוֹת לִרְאוֹת אֶת זֶה לְֽאוֹר יוֹם,ʔˈa zˈe dˈej madhˈim liʁʔˈot liʁʔˈot ʔˈet zˈe leʔˈoʁ jˈom
gold_021_line_040,הוא אחד מייזמי ההייטק הוותיקים שיש לנו,הוּא אֶחָד מִיִּיזְּמֵי הַ|הַיְיטֵק הַ|וָּותִיקִים שֶׁ|יֵּשׁ לָנוּ,hˈu ʔeχˈad mijizmˈej hahajtˈek havatikˈim ʃejˈeʃ lanˈu
gold_007_line_150,נמאס לי לחלוטין לעמוד בפקקים נמאס לי מהלחץ נמאס לי מחיפושי החנייה פשוט נמאס לי,נִמְאַס לִי לַחֲלוּטִין לַעֲמֹוד בַּ|פְּקָקִים נִמְאַס לִי מֵהַ|לַּ֫חַץ נִמְאַס לִי מֵ|חִיפּוּשֵׂי הַ|חֲנָיָיה פָּשׁוּט נִמְאַס לִי,nimʔˈas lˈi laχalutˈin laʔamˈod bapkakˈim nimʔˈas lˈi mehalˈaχats nimʔˈas lˈi meχipusˈej haχanajˈa paʃˈut nimʔˈas lˈi
gold_001_line_348,עוד שנייה יהיה לה מקום חדש לקרוא לו בית,עוֹד שְׁנִיָּיה יִהְיֶה לָהּ מָקוֹם חָדָשׁ לִקְרֹוא לוֹ בַּ֫יִת,ʔˈod ʃnijˈa jihjˈe lˈa makˈom χadˈaʃ likʁˈo lˈo bˈajit
gold_020_line_002,אוקיי אז בוא נלך מהקל אל הכבד בחלק הקל על אף שכבר עכשיו הטכנולוגיה מאוד מאוד מרשימה,אוֹקֵ֫יי אָז בּוֹא נֵלֵךְ מֵהַ|קַּ֫ל אֶל הַ|כָּבֵד בַּ|חֵ֫לֶק הַ|קַּ֫ל עַל אַף שֶׁ|כְּבָר עַכְשָׁיו הַ|טֶּכְנוֹל֫וֹגְיָה מְֽאוֹד מְֽאוֹד מַרְשִׁימָה,ʔokˈej ʔˈaz bˈo nelˈeχ mehakˈal ʔˈel hakavˈed baχˈelek hakˈal ʔˈal ʔˈaf ʃekvˈaʁ ʔaχʃˈav hateχnolˈoɡja meʔˈod meʔˈod maʁʃimˈa
gold_011_line_114,במערכת חיות כיס חברות גם דנה פרנק וצליל אברהם,בַּֽ|מַּעֲרֶ֫כֶת חַיּוֹת כִּיס חֲבֵרוֹת גַּם דָּ֫נָה פְרַנְק וּ|צְלִיל אַבְרָהָם,baemaʔaʁˈeχet χajˈot kˈis χaveʁˈot ɡˈam dˈana fʁˈank ˈutslil ʔavʁahˈam
gold_021_line_014,אולי הוא ישכנע גם אתכם להצטרף לעיגול לטובה,אוּלַי הוּא יְֽשַׁכְנֵ֫עַ גַּם אֶתְכֶם לְֽהִצְטָרֵף לָ|עִיגּוּל לְֽ|טוֹבָה,ʔulˈaj hˈu jeʃaχnˈea ɡˈam ʔetχˈem lehitstaʁˈef laʔiɡˈul letovˈa
gold_021_line_057,והוא משמש בתור יושב הראש שלה עד היום,וְֽ|הוּא מְֽשַׁמֵּשׁ בְּֽתוֹר יוֹשֵׁב הָ|רֹאשׁ שֶׁ|לָּהּ עַד הַיּוֹם,vehˈu meʃamˈeʃ betˈoʁ joʃˈev haʁˈoʃ ʃelˈa ʔˈad hajˈom
gold_002_line_310,פשוט כי האינפלציה כאן היא עדיין נמוכה ביחס למדינות אחרות,פָּשׁוּט כִּי הָ|אִינְפְלַ֫צְיָה כָּאן הִיא עֲדַ֫יִין נְֽמוּכָה בְּֽ|יַ֫חַס לִ|מְדִינוֹת אֲחֵרוֹת,paʃˈut kˈi haʔinflˈatsja kˈan hˈi ʔadˈajin nemuχˈa bejˈaχas limdinˈot ʔaχeʁˈot
gold_002_line_356,בארצות הברית בינתיים היכן שהאינפלציה השנתית כבר חצתה את השישה אחוזים,בְּֽ|אַרְצוֹת הַ|בְּרִית בֵּינְתַיִים הֵיכָן שֶׁ|הָ|אִינְפְלַ֫צְיָה הַ|שְּׁנָתִית כְּבָר חָצְתָה אֶת הַ|שִּׁישָּׁה אֲחוּזִים,beʔaʁtsˈot habʁˈit bentajˈim heχˈan ʃehaʔinflˈatsja haʃnatˈit kvˈaʁ χatstˈa ʔˈet haʃiʃˈa ʔaχuzˈim
gold_000_line_012,החברה האם זו שמחזיקה או החזיקה אז בוואלה,הַ|חֶבְרָה הַאִם זוֹ שֶׁ|מַּחֲזִיקָה אוֹ הֶחְזִ֫יקָה אָז בְּֽ|וָואלָה,haχevʁˈa haʔˈim zˈo ʃemaχazikˈa ʔˈo heχzˈika ʔˈaz bevalˈa
gold_012_line_119,ומתרגזת בכל פעם ומתרגזת מאוד בכל פעם שישראל טוענת אחרת,וּ|מִתְרַגֶּ֫זֶת בְּֽ|כׇל פַּ֫עַם וּ|מִתְרַגֶּ֫זֶת מְֽאוֹד בְּֽ|כׇל פַּ֫עַם שֶׁ|יִּשְׂרָאֵל טוֹעֶ֫נֶת אַחֶרֶת,umitʁaɡˈezet beχˈol pˈaʔam umitʁaɡˈezet meʔˈod beχˈol pˈaʔam ʃejisʁaʔˈel toʔˈenet ʔaχeʁˈet
gold_012_line_124,למה הם לא ממסחרים את אתר התבילה כי זה מקום קדוש הם אומרים זה לא מתאים זה כמו למסחר את הכותל,לָ֫מָּה הֵם לֹא מְֽמַסְחֲרִים אֶת אֲתַר הַ|תְּבִילָה כִּי זֶה מָקוֹם קָדוֹשׁ הֵם אוֹמְרִים זֶה לֹא מַתְאִים זֶה כְּמוֹ לְֽ|מִסְחֵ֫ר אֶת הַ|כֹּ֫ותֶל,lˈama hˈem lˈo memasχaʁˈim ʔˈet ʔatˈaʁ hatvilˈa kˈi zˈe makˈom kadˈoʃ hˈem ʔomʁˈim zˈe lˈo matʔˈim zˈe kmˈo lemisχˈeʁ ʔˈet hakˈotel
gold_001_line_022,אבל באמת נוגעים מפעילים את זה משהו בפנים,אֲבָל בֶּאֱמֶת נוֹגְֽעִים מַפְעִילִים אֶת זֶה מַ֫שֶּׁהוּ בִּפְנִים,ʔavˈal beʔemˈet noɡeʔˈim mafʔilˈim ʔˈet zˈe mˈaʃehu bifnˈim
gold_008_line_100,אני באופן אישי אחרי איזושהי תקופה עם גוגל פודקאסטס עברתי לאחרונה לספוטיפאי לא לגמרי בטוח למה אבל האמת היא שאנחנו בכל מקום בכל מקום,אֲנִי בְּֽ|אֹ֫ופֶן אִישִׁי אַחֲרֵי אֵיזוֹשֶׁהִי תְּקוּפָה עִם גּוּגֶל פוֹדְקַאסְטְס עָבַ֫רְתִּי לָאַחֲרוֹנָה לִ|סְפּוֹטִיפַאי לֹא לְֽגַמְרֵי בָּט֫וּחַ לָ֫מָּה אֲבָל הָ|אֱמֶת הִיא שֶׁ|אֲנַ֫חְנוּ בְּֽ|כׇל מָקוֹם בְּֽ|כׇל מָקוֹם,ʔanˈi beʔˈofen ʔiʃˈi ʔaχaʁˈej ʔejzoʃehˈi tkufˈa ʔˈim ɡuɡˈel fodkˈasts ʔavˈaʁti laʔaχaʁonˈa lispotifˈaj lˈo leɡamʁˈej batˈuaχ lˈama ʔavˈal haʔemˈet hˈi ʃeʔanˈaχnu beχˈol makˈom beχˈol makˈom
gold_002_line_024,לפני שלוש שנים הוא בכלל היה בצד השני של העולם בבית שלו בפרבר של פילדלפיה,לִפְנֵי שָׁלוֹשׁ שָׁנִים הוּא בִּכְלָל הָיָה בַּ|צַּד הַ|שֵּׁנִי שֶׁל הָ|עוֹלָם בַּ|בַּ֫יִת שֶׁ|לּוֹ בַּ|פַּרְבֶּר שֶׁל פִילְדֶלְפִּיָּה,lifnˈej ʃalˈoʃ ʃanˈim hˈu biχlˈal hajˈa batsˈad haʃenˈi ʃˈel haʔolˈam babˈajit ʃelˈo bapaʁbˈeʁ ʃˈel fildelpijˈa
gold_020_line_033,ככל שהדבר הזה ישתכלל ויהיו על זה אה אתה יודע יבנו על זה אפליקציות מסחריות באותו אופן שבו אה באפסטור אה של אפל או בגוגל אה בחנות אפליקציות של גוגל,כְּֽכׇל שֶׁהַ|דָּבָר הַ|זֶּה יִשְׁתַּכְלֵל וְֽ|יִהְיוּ עַל זֶה אָה אַתָּה יוֹדֵ֫עַ יִבְנוּ עַל זֶה אַפְּלִ֫יקַ֫צְיוֹת מִסְחָרִיּוֹת בְּֽ|אוֹתוֹ אֹ֫ופֶן שֶׁ|בּוֹ אָה בְּֽ|אַ֫פְּסְטוֹר אָה שֶׁל אַפֶּל אוֹ בְּֽ|גוּגֶל אָה בַּ|חֲנוּת אַפְּלִ֫יקַ֫צְיוֹת שֶׁל גּ֫וּגֶל,keχˈol ʃehadavˈaʁ hazˈe jiʃtaχlˈel vejihjˈu ʔˈal zˈe ʔˈa ʔatˈa jodˈea jivnˈu ʔˈal zˈe ʔaplˈikˈatsjot misχaʁijˈot beʔotˈo ʔˈofen ʃebˈo ʔˈa beʔˈapstoʁ ʔˈa ʃˈel ʔapˈel ʔˈo beɡuɡˈel ʔˈa baχanˈut ʔaplˈikˈatsjot ʃˈel ɡˈuɡel
